experience,age,governorate,disability,education,gender,clusters,nodes,durations
5,20,amman,no_disability,secondary_or_below,male,0,20,9.1
1,20,maadaba,no_disability,secondary_or_below,male,1,10,4.1
0,20,maadaba,no_disability,secondary_or_below,male,1,2,5.620443
0,20,amman,no_disability,secondary_or_below,male,1,8,6.3873696
0,20,zarqa,no_disability,vocational_training,male,1,5,13.2
0,20,irbid,no_disability,secondary_or_below,male,1,0,20.082293
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,15.233334
0,20,zarqa,no_disability,secondary_or_below,male,1,5,5.0333333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,3.4130208
0,20,amman,no_disability,secondary_or_below,male,1,8,9.1
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
1,20,amman,no_disability,secondary_or_below,male,1,12,3.0666666
1,20,amman,no_disability,secondary_or_below,male,1,12,12.166667
1,20,amman,no_disability,secondary_or_below,male,1,12,5.1
0,20,irbid,no_disability,secondary_or_below,male,1,0,7.686914
0,20,zarqa,no_disability,secondary_or_below,male,1,5,9.685547
0,20,irbid,no_disability,secondary_or_below,male,1,0,16.786198
0,20,irbid,no_disability,secondary_or_below,male,1,0,14.233334
1,20,amman,no_disability,secondary_or_below,male,1,12,6.0333333
0,20,al_mafraq,no_disability,secondary_or_below,male,1,8,22.333334
1,20,amman,no_disability,secondary_or_below,male,1,12,2.9666667
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,16.479427
0,20,amman,no_disability,secondary_or_below,male,1,8,12.020703
0,20,amman,no_disability,secondary_or_below,male,1,8,5.0333333
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,21.266666
0,20,amman,no_disability,secondary_or_below,male,1,8,9.1
0,20,amman,no_disability,secondary_or_below,male,1,8,2.9666667
0,20,balqa,no_disability,secondary_or_below,male,1,0,7.6509767
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
1,20,amman,no_disability,secondary_or_below,male,1,12,6.0666666
0,20,amman,no_disability,secondary_or_below,male,1,8,4.8503904
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1178384
0,20,zarqa,no_disability,secondary_or_below,male,1,5,8.1
0,20,zarqa,no_disability,vocational_training,male,1,5,12.017578
0,20,al_aqaba,no_disability,vocational_training,male,1,3,7.0666666
0,20,maadaba,no_disability,secondary_or_below,male,1,2,14.851758
